,mun_name,area,area_urban_percent,build_age_year,build_area_m2,build_rooms,build_type_com_ind_percent,build_type_mixed_percent,build_type_other_percent,build_type_res_MFH_percent,build_type_res_SFH_percent,cooling_days,dem_cool_kWh,dem_el_GWh,dem_heat_com_MWh,dem_heat_ind_MWh,dem_heat_res_MWh,electricity_price,employed_primary_percent,employed_secondary_percent,employed_tertiary_percent,employed_total,heat_fuel_air_percent,heat_fuel_electricity_percent,heat_fuel_gas_percent,heat_fuel_geo_percent,heat_fuel_oil_percent,heat_fuel_other_percent,heat_fuel_remoteheat_percent,heat_fuel_wood_percent,heat_type_boiler_percent,heat_type_electricity_percent,heat_type_heatexchanger_percent,heat_type_heatpump_percent,heat_type_other_percent,heat_type_oven_percent,heating_days,households_total,pop,pop_retired_percent,pop_working_percent,pop_young_percent,pot_el_PV_GWh,pot_el_wind_mps3,pot_en_bio_nonwood_TJ,pot_en_bio_wood_TJ,pot_he_wastewaterheat_MWh,sup_el_PV_kW,sup_el_biomass_kW,sup_el_gas_kW,sup_el_hydro_cont_kW,sup_el_hydro_div_kW,sup_el_hydro_drink_kW,sup_el_hydro_pump_kW,sup_el_hydro_store_kW,sup_el_waste_kW,sup_el_wastewater_kW,sup_el_wind_kW,vehicles_el_percent,vehicles_el_total
1863,Tschappina,2467,1.2,72.77338129496403,89.33747412008282,1.2352941176470589,0.6342975206611571,0.1487603305785124,0.0041322314049586,0.0413223140495867,0.1714876033057851,15.9611107421418,0.0,1.2,394.5,0.0,1006.8,23.766666,0.6206896551724138,0.0,0.3793103448275862,58.0,0.0049261083743842,0.167487684729064,0.0,0.0443349753694581,0.0935960591133004,0.0147783251231527,0.0,0.6748768472906403,0.144927536231884,0.1642512077294686,0.0,0.0676328502415458,0.0096618357487922,0.6135265700483091,278.322222391764,56.0,137,30.1,53.4,16.5,11.66,138662.4727,0.73,3.84,0.0,84.9,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,5.1,4.0
1864,Tschiertschen-Praden,2774,1.3,63.54004854368932,93.80335731414868,1.3875968992248062,0.1360381861575179,0.0644391408114558,0.0,0.1718377088305489,0.6276849642004774,7.56111125399669,0.0,2.5,767.1,0.0,4009.0,21.353333,0.150375939849624,0.1203007518796992,0.7293233082706767,133.0,0.0104986876640419,0.2099737532808399,0.0157480314960629,0.0183727034120734,0.3228346456692913,0.0026246719160104,0.0,0.4199475065616798,0.3384615384615385,0.2051282051282051,0.0,0.0538461538461538,0.0,0.4025641025641026,296.822222391764,143.0,301,26.7,56.0,17.3,11.44,141117.5732,0.45,6.82,0.0,292.8,0.0,0.0,0.0,10752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0
1865,Tschugg,329,10.6,57.486590038314176,157.62283737024222,1.8333333333333333,0.4776632302405498,0.0824742268041237,0.0790378006872852,0.140893470790378,0.2199312714776632,67.966667175293,0.0,6.9,3291.6,0.0,2012.2,22.541594,0.0307328605200945,0.0378250591016548,0.9314420803782506,423.0,0.1451612903225806,0.0725806451612903,0.032258064516129,0.0,0.5645161290322581,0.0,0.0,0.1854838709677419,0.6066666666666667,0.06,0.0,0.2933333333333333,0.0066666666666666,0.0333333333333333,188.583335876465,220.0,472,16.3,65.0,18.6,8.75,26100.67415,1.79,7.26,0.0,1127.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,11.0
1866,Tuggen,1509,13.7,47.12852404643449,201.8273092369478,2.323568575233023,0.4274447949526814,0.057570977917981,0.002365930599369,0.2105678233438485,0.3020504731861199,61.2666664123535,15228.75911,20.8,6029.2,2141.0,18428.0,34.449635,0.079646017699115,0.3410483321987747,0.5793056501021103,1469.0,0.0382978723404255,0.0829787234042553,0.0085106382978723,0.0468085106382978,0.5531914893617021,0.0042553191489361,0.002127659574468,0.2638297872340425,0.4486345903771131,0.0494148244473342,0.0013003901170351,0.4447334200260078,0.0013003901170351,0.0546163849154746,190.766668701172,1406.0,3306,15.5,64.8,19.6,47.05,0.0,48.31,15.22,0.0,4678.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,52.0
1867,Tujetsch,13391,1.4,69.2443396226415,115.2618607516944,2.3983152827918173,0.4911531421598535,0.036607687614399,0.0298962782184258,0.2410006101281269,0.2013422818791946,2.65225223471989,500.209994,9.6,4913.8,486.0,16664.6,25.908,0.0617647058823529,0.2397058823529411,0.6985294117647058,680.0,0.0,0.3136729222520107,0.0040214477211796,0.0522788203753351,0.3056300268096514,0.0093833780160857,0.0093833780160857,0.3056300268096514,0.2862068965517241,0.2689655172413793,0.0057471264367816,0.1942528735632183,0.0045977011494252,0.2402298850574712,320.424324654244,581.0,1197,29.2,55.4,15.3,48.09,49486.23669,16.75,18.28,1000.0,1187.38,0.0,0.0,7200.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0
1868,Turbenthal,2522,7.2,59.21792717086835,151.96016554578375,2.112565445026178,0.4247311827956989,0.0928641251221896,0.0381231671554252,0.1138807429130009,0.3304007820136852,47.6888885498047,218836.201,21.9,7763.6,2781.0,24714.5,19.534,0.0692826486817903,0.1839362354383813,0.7467811158798283,1631.0,0.0045351473922902,0.0532879818594104,0.0011337868480725,0.0079365079365079,0.6065759637188208,0.0011337868480725,0.0725623582766439,0.2528344671201814,0.5554628857381151,0.0383653044203502,0.0533778148457047,0.2760633861551292,0.0,0.0767306088407005,214.111111958822,2008.0,5052,17.5,60.1,22.4,46.41,0.0,14.15,68.54,0.0,5111.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,51.0
1869,Turgi,155,44.7,58.21878862793572,165.72269938650308,3.239463601532567,0.3798076923076923,0.0288461538461538,0.0240384615384615,0.2151442307692307,0.3521634615384615,64.9748695425532,57425.17341,10.8,4107.6,5477.0,16638.5,22.776266,0.0,0.3302263648468708,0.6697736351531292,751.0,0.0160642570281124,0.0461847389558232,0.2971887550200803,0.0040160642570281,0.4578313253012048,0.0,0.1626506024096385,0.0160642570281124,0.7140151515151515,0.043560606060606,0.1515151515151515,0.0757575757575757,0.0018939393939393,0.0132575757575757,196.705757128516,1380.0,2972,14.7,65.8,19.5,16.93,0.0,28.2,6.04,46600.0,897.58,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,54.0,0.0,1.6,26.0
1870,Turtmann-Unterems,4242,3.2,77.4765873015873,116.34878240377064,1.6726907630522088,0.6216848673946958,0.03198127925117,0.0015600624024961,0.1037441497659906,0.2410296411856474,5.42333323210478,0.0,7.1,1938.8,2811.0,6574.4,20.237667,0.1965973534971644,0.3194706994328922,0.4839319470699433,529.0,0.0639658848614072,0.1748400852878464,0.0021321961620469,0.0063965884861407,0.3773987206823028,0.0021321961620469,0.0298507462686567,0.3432835820895522,0.4396039603960396,0.1603960396039604,0.0059405940594059,0.1584158415841584,0.0039603960396039,0.2316831683168317,345.379998779297,477.0,1125,20.1,62.1,17.8,27.27,0.0,20.65,21.47,0.0,4325.83,0.0,0.0,750.0,0.0,0.0,59840.0,0.0,0.0,0.0,0.0,1.8,13.0
1871,Twann-Tüscherz,1241,8.2,70.25123456790124,113.32764140875132,1.674321503131524,0.3873015873015873,0.0984126984126984,0.1439153439153439,0.1047619047619047,0.2656084656084656,69.8500003814697,404.671519,5.4,2284.1,368.0,7607.2,22.541594,0.3050397877984085,0.1856763925729443,0.5092838196286472,377.0,0.045662100456621,0.1735159817351598,0.0433789954337899,0.0068493150684931,0.5502283105022832,0.0251141552511415,0.002283105022831,0.1529680365296803,0.6112311015118791,0.1598272138228941,0.0021598272138228,0.1360691144708423,0.0,0.0907127429805615,193.491664886475,578.0,1202,28.2,58.0,13.8,13.72,0.0,2.79,30.95,0.0,935.24,56.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,15.0
1872,Tägerig,329,17.1,46.288978494623656,118.90994623655914,1.5079726651480638,0.4183266932270916,0.0411686586985391,0.0119521912350597,0.0783532536520584,0.450199203187251,69.4328596304364,39033.6122,7.0,1469.3,0.0,8644.7,22.776266,0.1296296296296296,0.1157407407407407,0.7546296296296297,216.0,0.0133779264214046,0.0635451505016722,0.0,0.0234113712374581,0.7658862876254181,0.0033444816053511,0.0100334448160535,0.1204013377926421,0.5585585585585585,0.0427927927927927,0.0067567567567567,0.3513513513513513,0.0022522522522522,0.0382882882882882,192.400073655472,585.0,1507,16.8,57.4,25.9,14.49,0.0,6.17,7.43,0.0,2640.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,20.0
